Entidad,Proveedor,Valor (COP),Fecha del Proceso,Año
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,15150000.0,2023-07-27,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,ORGANIAGRO SAS,8250000.0,2023-07-27,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,JULIAN MAURICIO FERREIRA MARTINEZ,9900800.0,2020-09-28,2020.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE BARRANCABERMEJA,CARMEN ELISA NINO QUINTERO,33640000.0,2018-02-06,2018.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,REPRESENTACIONES GANADERAS LIMITADA REPREGAN LTDA,2840000.0,2019-06-26,2019.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,SANDESOL S.A E.S.P,4069089.0,2024-05-16,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,SUMINISTROS Y CONTROLES ELECTRONICOS S.A,5000000.0,2021-09-14,2021.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,CIENTIFICAS S.A.S.,7790000.0,2021-08-11,2021.0
INSTITUTO UNIVERSITARIO DE LA PAZ,LA BODEGA ELECTRICA S.A.S,320036480.0,2025-08-20,2025.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,CENTRAL DE HERRAMIENTAS DE COLOMBIA SAS,19974000.0,2024-11-22,2024.0
EMPRESA DE DESARROLLO URBANO Y VIVIENDA DE INTERES SOCIAL DE BARRANCABERMEJA,RVO IPS SAS,4959500.0,2022-06-08,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,14651963.0,2022-07-13,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,CHELL ING,28482242.0,2023-08-02,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,PABLO VICENTE MEDINA ALONSO,12984000.0,2019-12-26,2019.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,13088017.0,2022-07-13,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,MARQUEZ ASOCIADOS S.A.S.,4000000.0,2024-07-23,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,A&CI S.A.S,41425451.0,2019-04-10,2019.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,CRR SOLUCIONES INTEGRALES S.A.S,8756496.0,2021-09-21,2021.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,BESTEK SAS,16000000.0,2025-07-01,2025.0
INSTITUTO UNIVERSITARIO DE LA PAZ,INVER TRACK SAS,3000000.0,2022-11-23,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,CONSORCIO HG 2025,6824000.0,2025-07-01,2025.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,LENYCHETH RODRIGUEZ,5700000.0,2019-02-22,2019.0
INSTITUTO UNIVERSITARIO DE LA PAZ,COMPULASER LGD SAS,39525000.0,2025-03-28,2025.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",G+G BODYSHOP SAS,400000000.0,2023-05-29,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,DANIEL TARAZONA,2375998.0,2019-06-26,2019.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,ORGANIAGRO SAS,12000000.0,2022-10-27,2022.0
EMPRESA DE DESARROLLO URBANO Y VIVIENDA DE INTERES SOCIAL DE BARRANCABERMEJA,INGECONSTRUCCIONES JD SAS,27363204.0,2022-12-06,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,COMRED SAS,21447575.0,2023-08-02,2023.0
INSTITUTO UNIVERSITARIO DE LA PAZ,BESTEK SAS,30678200.0,2023-07-28,2023.0
PERSONERIA MUNICIPAL DE BARRANCABERMEJA,DIESEL UNIVERSAL SAS,10854573.0,2023-07-19,2023.0
INSTITUTO UNIVERSITARIO DE LA PAZ,UT. UNIPAZ,107056138.0,2023-03-03,2023.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",EMPRESA ASOCIATIVA DE TRABAJO ELECTRICO Y MANTENIMIENTO FUNITEL,36382745.0,2024-09-23,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,SANTANDEREANA DE QUIMICOS Y REACTIVOS SAS,7000000.0,2023-07-27,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,QUIMITRONICA SAS,21447575.0,2023-08-02,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,WARGO S.A.S.,19679719.0,2021-10-19,2021.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,VETERINARIA LA RED S.A.S.,2015000.0,2019-06-26,2019.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,ZAYDA ELENA GOMEZ RANGEL,20000000.0,2022-08-08,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,EQUISUMINISTROS Y CONSTRUCCIONES SAS,131000000.0,2025-07-01,2025.0
CONTRALORIA MUNICIPAL DE BARRANCABERMEJA.,RVO IPS SAS,3000000.0,2025-01-28,2025.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,CHELL ING,3564388.0,2023-08-02,2023.0
CONTRALORIA MUNICIPAL DE BARRANCABERMEJA.,AUTOMOTRIZ GBC SAS,20000000.0,2021-04-07,2021.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,YOHANA KARINA QUINTERO / LOGISTICA QUINTERO,18645000.0,2024-04-18,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,MACRORIGAMI SAS,3500000.0,2023-07-27,2023.0
CONTRALORIA MUNICIPAL DE BARRANCABERMEJA.,DISTRACOM S.A.,15000000.0,2025-01-30,2025.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,LA BODEGA ELECTRICA S.A.S,15150000.0,2023-07-27,2023.0
INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA,CONSORCIO DISPOSITIVOS SEGURIDAD VIAL BARRANCABERMEJA 2024,528359372.0,2024-12-11,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,CHELL ING,12554986.0,2023-08-02,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,PABLO VICENTE MEDINA ALONSO,7105000.0,2019-06-26,2019.0
INSTITUTO UNIVERSITARIO DE LA PAZ,WORKSAIT SAS,94230255.0,2025-06-24,2025.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,ORGANIAGRO SAS,4500000.0,2023-07-27,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,MACRORIGAMI SAS,3564388.0,2023-08-02,2023.0
INSTITUTO UNIVERSITARIO DE LA PAZ,WORKSAIT SAS,215825167.0,2024-07-16,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,ORGANIAGRO SAS,4350000.0,2023-07-27,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,MACRORIGAMI SAS,6722953.0,2023-07-27,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,ORGANIAGRO SAS,3564388.0,2023-08-02,2023.0
CONTRALORIA MUNICIPAL DE BARRANCABERMEJA.,CLAUDIA CECILIA JACOME RANGEL,10000000.0,2023-05-15,2023.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",CLUB DEPORTIVO DE CICLISMO BMX DE BARRANCABERMEJA EN TODAS SUS MODALIDADES CCBB,66650000.0,2017-07-21,2017.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,REPRESENTACIONES GANADERAS LIMITADA REPREGAN LTDA,139000000.0,2019-06-26,2019.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE BARRANCABERMEJA,LA BODEGA ELECTRICA S.A.S,1403000.0,2018-05-11,2018.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,COMRED SAS,20000000.0,2022-08-08,2022.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE BARRANCABERMEJA,CENTRAL DE SUMINISTROS LTDA,1692900.0,2020-10-02,2020.0
INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA,SERVIPROYER SAS,120000000.0,2025-08-05,2025.0
INSTITUTO UNIVERSITARIO DE LA PAZ,DISTRIBUCIONES R.B.R SAS,254883500.0,2025-06-04,2025.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,S&M ASESORIAS Y SERVICIOS SAS,2267419.0,2020-07-22,2020.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE BARRANCABERMEJA,DANZAFE IMPORTADORES ASOCIADOS SAS,3167123.0,2018-04-27,2018.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,MARQUEZ ASOCIADOS S.A.S.,22999000.0,2024-07-23,2024.0
INSTITUTO UNIVERSITARIO DE LA PAZ,EDUARDO ENRIQUE DIAZ ACEVEDO,1.0,2022-09-01,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,39500000.0,2021-08-02,2021.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,CONSORCIO HG 2025,14000000.0,2025-07-01,2025.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,ORGANIAGRO SAS,15080000.0,2024-07-23,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,ORGANIAGRO SAS,14800000.0,2024-07-23,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,DISTRIBUCIONES C.E.L,10584720.0,2019-12-26,2019.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,94925242.0,2020-04-27,2020.0
INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA,A&ECOM CONSTRUCCIONES Y SERVICIOS S.A.S,20000000.0,2025-07-14,2025.0
PERSONERIA MUNICIPAL DE BARRANCABERMEJA,HOOKE EVENTOS Y PRODUCCIONES S.A.S.,14232600.0,2022-12-05,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,139000000.0,2019-06-26,2019.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,UT GRUPO OLAM CAPITAL,321672000.0,2025-08-28,2025.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,10557359.0,2020-12-07,2020.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,PABLO VICENTE MEDINA ALONSO,112187435.0,2024-07-23,2024.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE BARRANCABERMEJA,GESTORES & LICITADORES SAS,79512000.0,2019-01-31,2019.0
CONTRALORIA MUNICIPAL DE BARRANCABERMEJA.,ESTACION DE SERVICIOS SAN SILVESTRE,10000000.0,2023-01-24,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,DISTRIBUCIONES C.E.L,6437000.0,2019-12-11,2019.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE BARRANCABERMEJA,ESTACION DE SERVICIOS SAN SILVESTRE SA,60000000.0,2018-01-26,2018.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",CLUB DEPORTIVO ESCUELA DE CICLISMO YARIGUIES,3000000.0,2017-10-27,2017.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,REPRESENTACIONES GANADERAS LIMITADA REPREGAN LTDA,2015000.0,2019-06-26,2019.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,ARDOBOT ROBOTICA SAS,7125000.0,2022-08-03,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,ORGANIAGRO SAS,3750000.0,2023-07-27,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,FESTO S.A.S,46318634.0,2024-12-17,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,DEICY BRAVO JOJOA,16655594.0,2025-07-01,2025.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",CLUB INFANTAS,5000000.0,2017-10-13,2017.0
CONTRALORIA MUNICIPAL DE BARRANCABERMEJA.,LA PREVISORA S.A. COMPANIA DE SEGUROS,16942106.0,2024-06-18,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,22940000.0,2022-08-08,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,DANIEL TARAZONA,85678489.0,2019-06-26,2019.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",SODEIS SAS,249576900.0,2022-10-27,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,QUANTIUM,23202250.0,2025-05-28,2025.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,COMRED SAS,14777501.0,2023-08-02,2023.0
INSTITUTO UNIVERSITARIO DE LA PAZ,CONSORCIO UNIPAZ 2023,792741707.0,2023-08-10,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,BESTEK SAS,14000000.0,2025-07-01,2025.0
INSTITUTO UNIVERSITARIO DE LA PAZ,WORKSAIT SAS,448492000.0,2024-01-19,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,LA CASA DEL MULTIMUEBLE S.A.S,73708915.0,2024-11-07,2024.0
PERSONERIA MUNICIPAL DE BARRANCABERMEJA,ESTACION DE SERVICIOS SAN SILVESTRE,5937500.0,2025-05-29,2025.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,CHELL ING,12307263.0,2023-08-02,2023.0
PSS S.A.,LABORATORIO DE ANALISIS Y SERVICIOS TECNICOS S.A.S,190299975.0,2022-10-18,2022.0
INSTITUTO UNIVERSITARIO DE LA PAZ,NEPROSER S.A.S,24867536.0,2022-01-18,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,ARDOBOT ROBOTICA SAS,7044800.0,2020-10-23,2020.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",CLUB DEPORTIVO DE PATINAJE DELFINES DE BARRANCABERMEJA,6500000.0,2022-10-20,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,DANIEL TARAZONA,6183994.0,2019-06-26,2019.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,TECNESYA SAS,41244632.0,2021-09-21,2021.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,TECNIMOTOR REPUESTOS Y RECTIFICADORA,26726210.0,2019-04-29,2019.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,12532871.0,2018-12-06,2018.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE BARRANCABERMEJA,AUTO FUEL.SAS,17335000.0,2021-09-23,2021.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,VETERINARIA LA RED S.A.S.,4870000.0,2019-06-26,2019.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,SUMINISTROS MAYBE SAS,14990000.0,2019-06-26,2019.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,SUMINISTROS MAYBE SAS,2375998.0,2019-06-26,2019.0
INSTITUTO UNIVERSITARIO DE LA PAZ,CONSCICOL SAS,29559600.0,2025-04-25,2025.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,VETERINARIA LA RED S.A.S.,6400000.0,2019-06-26,2019.0
INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA,GESTION DE SEGURIDAD ELECTRONICA S.A.,1236300.0,2024-10-04,2024.0
PSS S.A.,AMPARO ESTHER TRILLOS USME,11320000.0,2022-10-31,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,DISTRIBUCIONES C.E.L,4582000.0,2019-11-28,2019.0
INSTITUTO UNIVERSITARIO DE LA PAZ,MARSAN SERVICES SAS,12076997.0,2025-07-30,2025.0
CONCEJOBARRANCA,HERNANDO MARQUEZ SUAREZ,12320000.0,2021-12-01,2021.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,REPRESENTACIONES GANADERAS LIMITADA REPREGAN LTDA,6032800.0,2019-06-26,2019.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",TALLER DE REFRIGERACION IRIARTE E HIJOS,17110000.0,2021-10-15,2021.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,CSE,10000000.0,2021-07-30,2021.0
INSTITUTO UNIVERSITARIO DE LA PAZ,GOPHER GROUP SAS,44190000.0,2023-04-17,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,SUMINCOL S.A.S,10515129.0,2020-04-27,2020.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,BESTEK SAS,6824000.0,2025-07-01,2025.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,MACRORIGAMI SAS,53977496.0,2024-07-23,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,PABLO VICENTE MEDINA ALONSO,11574000.0,2024-07-23,2024.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE BARRANCABERMEJA,TODO ASEO SAS,42980928.0,2020-03-05,2020.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,ORGANIAGRO SAS,22999000.0,2024-07-23,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,CENTRAL DE HERRAMIENTAS DE COLOMBIA SAS,52238046.0,2021-06-22,2021.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",RECARGAS INKTEC,6821700.0,2023-12-05,2023.0
INSTITUCION EDUCATIVA LOS LAURELES BARRANCABERMEJA,MARSAN SERVICES SAS,222787533.0,2022-09-15,2022.0
CONCEJOBARRANCA,ASAH,30323800.0,2025-08-06,2025.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,QUIMITRONICA SAS,17272915.0,2023-08-02,2023.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE BARRANCABERMEJA,AUTO FUEL.SAS,14999426.0,2022-11-15,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,SUMINISTROS MAYBE SAS,6183994.0,2019-06-26,2019.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,MACRORIGAMI SAS,3000000.0,2023-07-27,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,SERVICENTRO SAN ANDRES SAS,53720000.0,2025-05-19,2025.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,FUNDACION GLOBAL AC&T,49462821.0,2020-08-31,2020.0
INSTITUTO UNIVERSITARIO DE LA PAZ,PURIFICACION DE RESIDUOS ESPECIALES SAS PURIFIC,19420800.0,2023-06-16,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,VETERINARIA LA RED S.A.S.,6727450.0,2019-06-26,2019.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,PABLO VICENTE MEDINA ALONSO,24403926.0,2019-06-26,2019.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,EQUISUMINISTROS Y CONSTRUCCIONES SAS,16655594.0,2025-07-01,2025.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,CONSORCIO HG 2025,55751094.0,2025-07-01,2025.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,LA BODEGA ELECTRICA S.A.S,5000000.0,2023-07-27,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,ZAYDA ELENA GOMEZ RANGEL,12699000.0,2020-09-16,2020.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,8983000.0,2019-06-10,2019.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",CLUB DEPORTIVO DE CICLISMO BMX DE BARRANCABERMEJA EN TODAS SUS MODALIDADES CCBB,85000000.0,2018-01-26,2018.0
CONTRALORIA MUNICIPAL DE BARRANCABERMEJA.,JAIRO ANDRES FERNANDEZ RUEDA Y/O FERNANDEZ RUEDA SERVICIOS,1500000.0,2022-05-18,2022.0
INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA,SERVIPROYER SAS,73149000.0,2024-10-28,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,SANTANDEREANA DE QUIMICOS Y REACTIVOS SAS,7200000.0,2023-07-27,2023.0
CONTRALORIA MUNICIPAL DE BARRANCABERMEJA.,LUIS EDUARDO VARGAS GONZALEZ Y/O TALLER REPARAUTOS,13000000.0,2025-05-05,2025.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,ZAYDA ELENA GOMEZ RANGEL,5500000.0,2022-08-08,2022.0
INSTITUTO UNIVERSITARIO DE LA PAZ,INCONEL SAS,174162000.0,2025-08-14,2025.0
CONCEJOBARRANCA,ASEGURADORA SOLIDARIA DE COLOMBIA ENTIDAD COOPERATIVA.,42434723.0,2023-04-28,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,ORGANIAGRO SAS,48929128.0,2024-07-23,2024.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE BARRANCABERMEJA,CLAUDIA CECILIA JACOME RANGEL,3799875.0,2018-02-09,2018.0
INSTITUTO UNIVERSITARIO DE LA PAZ,AVANTIKA COLOMBIA S.A.S,359555137.0,2022-08-09,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,MACRORIGAMI SAS,5000000.0,2023-07-27,2023.0
INSTITUTO UNIVERSITARIO DE LA PAZ,WORKSAIT SAS,532289000.0,2024-09-09,2024.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE BARRANCABERMEJA,ZAYDA ELENA GOMEZ RANGEL,6990000.0,2018-12-07,2018.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",G+G BODYSHOP SAS,202980200.0,2023-05-29,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,SUMEQUIPOS,8392465.0,2022-06-14,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,MARQUEZ ASOCIADOS S.A.S.,46509240.0,2024-07-23,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,QUIMITRONICA SAS,3564388.0,2023-08-02,2023.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",BESTEK SAS,31150630.0,2024-12-23,2024.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE BARRANCABERMEJA,ZAYDA ELENA GOMEZ RANGEL,5999932.0,2018-04-30,2018.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,EMPRESARIALMENTE ASOCIADOS - EMA SAS,21352508.0,2023-11-02,2023.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",CLUB DEPORTIVO DE CANOTAJE SAN SILVESTRE,2000000.0,2017-12-20,2017.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,628088.0,2023-11-27,2023.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE BARRANCABERMEJA,A&G INGENIERIA Y SOLUCIONES SAS,2645000.0,2018-04-23,2018.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,34427170.0,2023-07-27,2023.0
INSTITUTO UNIVERSITARIO DE LA PAZ,TEMPOEFECTIVA SAS,62679282.0,2023-10-25,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,PRODUMEDIHOS S.A.S.,8839681.0,2021-05-05,2021.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,AMI SOLUCIONES INTEGRALES S.A.S,4944000.0,2024-05-06,2024.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",MARIA EUGENIA PEREZ GUTIERREZ,13920000.0,2021-12-27,2021.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,PABLO VICENTE MEDINA ALONSO,53283314.0,2025-07-01,2025.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,VALENTUS SAS,28020000.0,2024-07-23,2024.0
